이름,성별,생년월일,우편번호,주소,나이,휴대폰번호,가입일자,가입기간,수신총잔액 ,신용대출한도 ,신용등급,담보대출한도 ,년간환전액
하하나리,F,19690429,025664,경기 파주시 교하읍,51,010-4042-6470,2003-11-24,14,1371672,42900000,3,85800000,0
탄향진,F,19630819,004715,서울 성북구 길음동,57,010-7956-5002,2005-07-27,12,5051694,116000000,3,232000000,0
보이정호,M,19490506,000949,서울 강북구 미아3동,71,010-1447-6176,2002-11-30,15,88385,28400000,8,56800000,0
난젬마희망,F,19600602,002462,서울 금천구 시흥5동,60,010-9551-1228,2008-03-10,10,1370133,124800000,5,249600000,0
지알레그라,F,20160520,046098,충북 청주시 영운동,4,010-9784-7448,2004-05-17,14,6445419,36400000,4,72800000,0
사사혜자,F,19590511,019859,경기 고양시 삼송동,61,010-6992-2736,2007-04-15,11,364007,44900000,6,89800000,0
라하상,M,19680422,020329,경기 고양시 풍동,52,010-9435-9678,2005-11-20,12,3891276,63300000,7,126600000,0
목루시앙,F,19490106,026057,경기 평택시 합정동,71,010-5252-4188,2005-11-01,12,455328,254900000,4,509800000,0
정지윤찬,M,19670430,036718,전남 여수시 국동,53,010-9715-8306,2002-07-03,16,26081061,114700000,5,229400000,0
우니콜한라,F,19600103,009218,부산 사상구 학장동,60,010-9610-3733,2004-05-10,14,375777,12700000,5,25400000,0
려승운,M,19770204,023526,경기 안산시 본오3동,43,010-4001-7086,2005-05-11,13,869075,1900000,9,3800000,0
산이건,M,19621126,030441,경남 하동군 화개면,58,010-7115-6302,2007-09-28,10,267415,62700000,3,125400000,0
만찬운,F,19501008,020329,경기 고양시 풍동,70,010-2876-5035,2006-06-20,12,5891405,29200000,4,58400000,102700000
팽이하,F,19810119,022940,경기 수원시 조원동,39,010-6668-4631,2005-10-05,12,212771562,17800000,6,35600000,0
고김우현,M,19520508,043871,충남 아산시 신창면,68,010-5192-9198,2003-06-26,15,156268,19600000,8,39200000,2000000
문아라제인,M,19450222,024455,경기 오산시 궐동,75,010-4044-1341,2004-09-07,13,741782,8900000,9,17800000,0
자세이기,F,19661230,048580,경기 고양시 마두동,54,010-4320-4301,2003-03-25,15,120120,65200000,4,130400000,0
안알렉스리,F,19690429,020218,경기 고양시 일산4동,51,010-6843-5807,2002-01-14,16,206554,435900000,2,871800000,0
진일다르,M,19570409,001327,서울 강서구 방화동,63,010-3179-2306,2004-07-09,13,329707,1500000,8,3000000,0
은시애나,F,19430213,020996,경기 군포시 당동,77,010-4172-2317,2005-04-17,13,15458659,67300000,3,134600000,0
견담유,F,19560606,014256,인천 중구 항동7가,64,010-1430-1431,2005-03-31,13,928017,212600000,2,425200000,0
음영수아더,M,19840127,025175,경기 의정부시 신곡1동,36,010-7976-0595,2004-03-08,14,20653336,2400000,7,4800000,0
포재안,M,19480531,022079,경기 부천시 중2동,72,010-1774-0100,2012-07-25,5,882892,22100000,6,44200000,0
서문흔운,M,19341109,048580,경기 고양시 마두동,86,010-3614-6693,2005-06-09,13,12798,67000000,6,134000000,0
명밴자민,M,19690430,041257,전북 정읍시 북면,51,010-4980-7315,2002-02-18,16,890072,15100000,4,30200000,0
기율마,M,19460927,006934,서울 중구 신당4동,74,010-3036-5254,2003-05-25,15,938541,315100000,4,630200000,0
임옥헌,F,19361130,000802,서울 강동구 암사3동,84,010-2685-8803,2009-05-08,9,180073,204400000,4,408800000,0
목빈다혜,F,19860322,001446,서울 강서구 화곡8동,34,010-4701-3055,2009-07-23,8,492889,33300000,7,66600000,0
육새라한,F,19681205,005740,서울 영등포구 신길동,52,010-1650-9832,2003-06-04,15,2574317,752400000,2,1504800000,0
란반니,M,19460512,020344,경기 과천시 과천동,74,010-1004-9721,2008-01-07,10,8558596,24200000,8,48400000,0
산우천,M,19541015,000371,서울 강남구 압구정동,66,010-1513-6010,2007-10-12,10,732746,23600000,8,47200000,2200000
독고카애대,M,19790225,005739,서울 영등포구 신길7동,41,010-8620-2811,2005-11-19,12,9518385,11700000,9,23400000,0
견운경,M,19690221,046502,충북 충주시 노은면,51,010-2518-7923,2007-03-31,11,20532213,38400000,7,76800000,2800000
두산아,F,19650722,009726,부산 수영구 민락동,55,010-1033-9827,2005-01-31,13,195825,3400000,7,6800000,0
라태순,F,19641001,043225,충남 논산시 상월면,56,010-8978-6070,2006-03-02,12,5095670,24900000,7,49800000,0
진도융,F,19630821,019859,경기 고양시 삼송동,57,010-9888-5088,2004-01-06,14,441946,1100000,7,2200000,0
서문가이나,F,19730113,041946,전북 완주군 삼례읍,47,010-6849-9331,2005-06-07,13,631977,2700000,7,5400000,0
묵조단민성,M,19470708,025276,경기 의정부시 장암동,73,010-5447-7403,2009-06-01,9,534057329,17200000,3,34400000,0
총차보라,F,19570725,021124,경기 김포시 북변동,63,010-2279-9382,2002-07-26,15,350062,555400000,1,1110800000,0
금환승,M,19580101,014005,인천 서구 당하동,62,010-5046-3583,2004-12-08,13,10135868,16600000,6,33200000,0
두보라챠트,F,19481204,048580,경기 고양시 마두동,72,010-3673-5558,2003-02-11,15,946803,4800000,9,9600000,0
손다교,F,19820826,021103,경기 김포시 감정동,38,010-5964-0636,2003-04-01,15,911903,12400000,5,24800000,0
유빈꽝,M,19610304,014284,인천 강화군 강화읍,59,010-4384-1978,2008-12-14,9,901387,5500000,9,11000000,0
위조셉태웅,M,19441119,021161,경기 김포시 풍무동,76,010-4159-8504,2006-12-12,11,482953,21100000,8,42200000,0
배지범미,M,19730104,005066,서울 송파구 가락동,47,010-1242-1454,2006-03-20,12,336142,85400000,5,170800000,0
고호윤,F,19740407,024290,경기 안양시 안양9동,46,010-2564-5024,2002-10-04,15,26958866,725700000,3,1451400000,0
빈귀칙,M,19880330,018262,강원 춘천시 효자2동,32,010-3476-5939,2007-08-17,10,4054709,738200000,1,1476400000,0
류죠앤예림,F,19451021,026048,경기 평택시 평택동,75,010-5340-9284,2005-01-10,13,6384480,8900000,5,17800000,0
종히나미,M,19670628,023576,경기 안산시 사2동,53,010-1328-9090,2004-03-10,14,3413716,21700000,7,43400000,0
심황재,M,19591212,025388,경기 이천시 창전동,61,010-7920-2902,2005-02-01,13,2908515,75500000,4,151000000,0
채우필,F,19630625,129251,경남 창원시 상남동,57,010-2624-2480,2003-01-08,15,412763,834500000,2,1669000000,0
빙혁일,M,19810206,009819,부산 연제구 거제4동,39,010-5696-7046,2009-04-27,9,909931691,16200000,4,32400000,0
수발해,F,19691208,021365,경기 남양주시 호평동,51,010-2818-4787,2008-08-03,9,655574360,111800000,2,223600000,0
초령실,M,19370105,017848,강원 속초시 청학동,83,010-4169-3528,2008-01-30,10,489647,18300000,6,36600000,0
사공공례,M,19480207,033140,경북 영주시 풍기읍,72,010-8158-4384,2007-02-06,11,560052,937400000,2,1874800000,0
견혜르,M,19490804,048189,경기 용인시 마북동,71,010-1227-8062,2002-04-24,16,937616,34600000,7,69200000,0
좌약은,F,19430919,020030,경기 고양시 대화동,77,010-9827-8151,2004-12-19,13,222159,20500000,4,41000000,0
장무힌예단,F,19691125,029908,경남 산청군 산청읍,51,010-5706-1473,2005-05-05,13,433525,3600000,7,7200000,0
정상생,M,19760212,039954,전북 김제시 금산면,44,010-6970-6350,2005-01-23,13,320299,17900000,6,35800000,0
림력두,F,19590511,019859,경기 고양시 삼송동,61,010-6992-2736,2007-04-15,11,364007,44900000,6,89800000,0
총소휘,F,19880520,048583,경기 고양시 백석동,32,010-5255-5116,2008-04-16,10,3128929,115800000,3,231600000,0
비귀재,F,19730208,001446,서울 강서구 화곡8동,47,010-3571-2600,2005-06-27,13,209232,9800000,5,19600000,0
구강연,M,19660329,012726,대구 중구 문화동,54,010-8984-7710,2005-08-24,12,69086,28600000,3,57200000,0
후생헌,F,20010708,014162,인천 연수구 청학동,19,010-6026-1525,2003-09-30,14,362299,22400000,4,44800000,0
림재켄드릭,F,19631124,025664,경기 파주시 교하읍,57,010-8183-1810,2006-07-12,11,711313,45300000,6,90600000,0
상새로핌,F,19710107,020321,경기 고양시 탄현동,49,010-6568-3285,2004-08-26,13,606837,66100000,3,132200000,0
민홍상,F,19780626,001075,서울 강북구 수유2동,42,010-6611-5584,2008-01-13,10,467269,315900000,4,631800000,0
송에림,M,19450119,001148,서울 강북구 수유동,75,010-7785-4119,2009-06-19,9,586485,60800000,4,121600000,0
창순서,F,19670711,020019,경기 고양시 대화동,53,010-5216-2837,2005-03-17,13,284951,115000000,3,230000000,0
조서진,M,19650501,025690,경기 파주시 교하읍,55,010-5451-6666,2005-07-01,13,6597307,27300000,5,54600000,0
반원레이,M,19540805,025326,경기 의정부시 호원동,66,010-5700-6406,2003-07-10,14,3120965,97000000,3,194000000,0
비천별,M,19760215,023160,경기 시흥시 신천동,44,010-9633-7471,2005-01-30,13,689086,11500000,7,23000000,0
담폴라,M,19360326,020085,경기 고양시 마두1동,84,010-7459-5743,2008-03-17,10,3001042,31500000,8,63000000,0
수뤠이전,F,19400120,048674,경기 고양시 마두1동 ,80,010-2801-9731,2005-09-12,12,604923,549500000,3,1099000000,0
팽수지제인,F,19590304,004637,서울 성동구 응봉동,61,010-2142-1167,2002-10-31,15,410091,63600000,5,127200000,0
김얘찬,F,19720215,011632,대구 북구 구암동,48,010-8355-1632,2003-06-03,15,145870,4000000,6,8000000,0
사공스텔라김,M,19681222,013684,인천 부평구 부개3동,52,010-8458-0355,2006-07-03,12,7275786,558100000,3,1116200000,0
함광묵,F,19581003,025649,경기 파주시 맥금동,62,010-4061-2383,2006-06-11,12,915461,30900000,4,61800000,0
관상례,F,19480520,100002,경기 파주시 야당동,72,010-1737-7828,2004-01-28,14,582532,54300000,3,108600000,0
인카일주성,M,19630910,024043,경기 안양시 평촌동,57,010-4547-0994,2006-07-23,11,386908,623800000,3,1247600000,0
배카이토,M,19610129,048584,경기 고양시 장항동,59,010-2308-4402,2008-02-16,10,3028170,4500000,9,9000000,0
가택신,M,19530504,029680,경남 고성군 고성읍,67,010-8569-5468,2006-12-10,11,167785,112300000,4,224600000,6500000
오샐라,M,19960408,020196,경기 고양시 일산3동,24,010-3990-4876,2005-06-10,13,150130,44900000,4,89800000,0
전파,M,19431024,026402,경기 하남시 감이동,77,010-9238-2386,2009-01-28,9,728855,149800000,5,299600000,0
염염시,F,19540716,004699,서울 성북구 길음2동,66,010-1417-4337,2004-12-20,13,5988083,8700000,5,17400000,0
섭천미,F,19650218,020637,경기 광명시 하안3동,55,010-5124-5467,2005-02-01,13,927636662,8300000,2,16600000,0
견익서,M,19701122,026686,경기 화성시 정남면,50,010-6715-1663,2006-02-14,12,16744485,3100000,7,6200000,0
류굉대,M,19370527,048363,경기 고양시 백석동,83,010-1673-0352,2008-09-10,9,23305794,27900000,7,55800000,0
채세라물결,F,19611201,019877,경기 고양시 성사동,59,010-2929-5762,2003-03-07,15,1411163,751800000,1,1503600000,0
호관륜,F,19820330,018870,강원 영월군 영월읍,38,010-6019-8866,2007-02-25,11,793813,3600000,10,7200000,0
함체성,F,19771012,024534,경기 용인시 고림동,43,010-4535-3591,2002-03-13,16,5998942,3200000,6,6400000,0
궁감승후,F,19581201,004316,서울 서초구 방배동,62,010-2538-7905,2009-08-27,8,588655,111400000,6,222800000,0
섭캘러든,F,19490730,009455,부산 사하구 하단1동,71,010-4755-3331,2003-12-08,14,1593997,60700000,3,121400000,0
황목데본리암,M,19471126,020003,경기 고양시 화정동,73,010-9995-2165,2006-08-16,11,423192,30000000,5,60000000,0
소금량,F,19820205,004734,서울 성북구 돈암동,38,010-9814-9997,2003-01-22,15,7787730,56100000,3,112200000,0
번율우,M,19520123,023948,경기 안양시 부림동,68,010-4208-8303,2003-05-06,15,893638,382100000,3,764200000,0
길윤구,F,19540806,027349,경기 연천군 미산면,66,010-1898-8725,2007-01-11,11,18405399,6100000,4,12200000,0
원택하,M,19620610,038214,전남 영광군 불갑면,58,010-8011-9211,2007-12-27,10,463030,325000000,4,650000000,0
랑상병,F,19481126,024043,경기 안양시 평촌동,72,010-8442-8972,2006-03-27,12,117929,67200000,3,134400000,0
곽아라별,F,19510108,020013,경기 고양시 가좌동,69,010-4728-0664,2008-10-02,9,212070,906000000,3,1812000000,0
도다예고,F,19621014,019238,강원 철원군 동송읍,58,010-9783-3707,2002-01-14,16,8259475,111600000,3,223200000,0
라채돈,F,19740908,025700,경기 파주시 교하읍,46,010-9722-6463,2002-05-13,16,838879574,177300000,2,354600000,0
천두형,F,19680210,000900,서울 강동구 천호동,52,010-6630-6338,2006-02-20,12,13208758,51100000,6,102200000,36100000
황애든,M,19500808,020184,경기 고양시 일산2동,70,010-8356-6310,2004-01-15,14,408510,677000000,2,1354000000,0
배새라성희,M,19600513,003536,서울 동작구 사당3동,60,010-9713-7698,2003-03-27,15,25022950,58600000,4,117200000,0
구리온한,M,19700412,019866,경기 고양시 성사1동,50,010-4724-2414,2005-09-09,12,678059,43200000,3,86400000,0
뢰혜향,F,19930417,020085,경기 고양시 마두1동,27,010-2535-9272,2004-02-08,14,860432,58200000,5,116400000,0
공해오른,F,19880610,023180,경기 시흥시 은행동,32,010-8575-8389,2007-09-12,10,1174401,4300000,6,8600000,0
야예빈우,F,19720313,023104,경기 시흥시 대야동,48,010-5433-6114,2008-06-10,10,3550752,20900000,8,41800000,0
제쉔상준,F,19541025,027667,경남 김해시 삼계동,66,010-8480-2833,2007-10-27,10,480067,405000000,4,810000000,0
난혜애인,M,19960408,020196,경기 고양시 일산3동,24,010-3990-4876,2005-06-10,13,150130,44900000,4,89800000,0
기윤묵,M,19870707,013015,인천 계양구 박촌동,33,010-1900-4534,2002-05-14,16,9917327,18700000,7,37400000,0
육하돈,M,19671211,001390,서울 강서구 화곡4동,53,010-2411-1350,2003-08-19,14,498041,48800000,4,97600000,0
박지복,F,19741107,037225,전남 고흥군 풍양면,46,010-4049-5351,2002-08-06,15,327319,421100000,2,842200000,0
총한예슬,M,19640724,003699,서울 동작구 신대방동,56,010-9034-2458,2005-09-26,12,131539,24000000,7,48000000,0
인리유진,F,19561113,001665,서울 관악구 봉천본동,64,010-3697-5296,2005-06-20,13,456339839,148400000,2,296800000,0
남궁찬령,F,19881007,004329,서울 서초구 서초1동,32,010-8733-4441,2006-12-24,11,675473,21200000,8,42400000,0
천웅행,M,19510513,022000,경기 부천시 심곡1동,69,010-4705-9044,2002-04-24,16,367824,471000000,2,942000000,0
천포용,F,19740228,025627,경기 파주시 금촌1동,46,010-9288-1601,2001-06-25,17,30126,28800000,4,57600000,0
진수상,F,19550915,003512,서울 동작구 사당2동,65,010-7003-0188,2007-07-12,10,18590513,145000000,3,290000000,0
황보의로운,F,19600208,021238,경기 김포시 하성면,60,010-5952-6456,2002-04-30,16,308875,16100000,4,32200000,0
오두헌,M,19500410,009284,부산 사하구 괴정2동,70,010-7291-1705,2003-12-28,14,8475667,69900000,4,139800000,0
배미아이,M,19670427,049028,경기 화성시 능동,53,010-1584-1651,2004-04-28,14,31622,217600000,4,435200000,0
감목현,M,19710411,028742,경남 진주시 상봉동,49,010-3760-5131,2006-11-22,11,1823391,329500000,2,659000000,0
수리한태민,M,19640712,019959,경기 고양시 화전동,56,010-1060-6344,2004-04-13,14,8756076,2800000,9,5600000,0
운해리한결,M,19560415,020996,경기 군포시 당동,64,010-4100-4284,2005-03-23,13,2727134,1400000,9,2800000,0
어진태,F,19660412,018167,강원 춘천시 석사동,54,010-9124-6187,2002-08-28,15,466775,8600000,6,17200000,0
전회진,F,19380602,027330,경기 연천군 전곡읍,82,010-4904-8359,2002-02-25,16,8570063,25600000,3,51200000,0
온운재,M,19570307,006468,서울 은평구 응암2동,63,010-4512-2618,2010-01-24,8,23947885,5200000,5,10400000,0
표치오니아,M,19721016,002731,서울 노원구 월계2동,48,010-5255-6937,2004-05-13,14,396470,36700000,4,73400000,0
인한태풍,F,19720507,023435,경기 안산시 선부3동,48,010-6352-3324,2003-12-01,14,490317,143500000,3,287000000,0
포일혁,F,19770607,020199,경기 고양시 일산3동,43,010-2756-0417,2002-07-25,15,21182336,1600000,6,3200000,0
반요한지안,M,19740603,032509,경북 상주시 외남면,46,010-8829-6147,2005-12-17,12,299757116,1200000,5,2400000,0
학커널시우,F,19671013,003858,서울 동작구 신대방1동,53,010-1555-1687,2010-03-02,8,481230664,511300000,3,1022600000,0
번운도,M,19760215,001327,서울 강서구 방화동,44,010-8105-6363,2004-06-24,14,950070807,11400000,3,22800000,0
서문위린,F,19541227,001204,서울 강서구 공항동,66,010-3979-2012,2005-03-30,13,817716934,161400000,2,322800000,0
맹라후,M,20030105,024175,경기 안양시 안양2동,17,010-2821-5143,2008-11-15,9,508420,37500000,6,75000000,0
용멜리나,F,19790710,002256,서울 구로구 구로5동,41,010-8105-1584,2003-06-30,15,746724,854800000,2,1709600000,0
편이하울,F,19500514,026590,경기 화성시 동탄면,70,010-6402-9588,2002-07-16,15,2828647,730000000,3,1460000000,0
표을중,M,19540730,019877,경기 고양시 성사동,66,010-9353-7325,2005-07-17,12,883485,239300000,4,478600000,0
경매매,M,19510524,021916,경기 부천시 원종동,69,010-7567-0861,2008-05-13,10,797054,65300000,4,130600000,0
당봉걸,M,19700520,003954,서울 마포구 중동,50,010-3273-7666,2005-12-08,12,2002103,44700000,7,89400000,0
자제일린,M,19370507,041241,전북 정읍시 덕천면,83,010-6350-2568,2005-01-03,13,722809,36100000,7,72200000,0
팽알얀,M,19780724,021052,경기 군포시 산본2동,42,010-7475-9362,2006-02-27,12,324424235,863300000,3,1726600000,0
독겸노,M,19470615,024201,경기 안양시 안양4동,73,010-2755-5168,2008-05-13,10,384346,46100000,6,92200000,0
동방시회,M,19790626,020336,경기 고양시 풍동,41,010-7219-1931,2013-07-07,5,363757,13900000,6,27800000,0
오랑주,M,19530908,048580,경기 고양시 마두동,67,010-3907-9970,2003-09-26,14,527942,68300000,4,136600000,0
관향래,F,19501201,033712,경북 포항시 장성동,70,010-4095-9869,2005-03-02,13,777806,9200000,5,18400000,0
배목가,F,19750817,001074,서울 강북구 수유1동,45,010-6144-4795,2002-12-02,15,865481,245100000,2,490200000,0
등정중린,M,19701017,019959,경기 고양시 화전동,50,010-4895-0458,2003-03-05,15,2069699,23400000,5,46800000,0
류애례,M,19450828,016447,대전 중구 유천2동,75,010-6800-1795,2010-01-21,8,6174465,17800000,8,35600000,0
견라히,M,19630130,026239,경기 포천시 자작동,57,010-5489-5445,2004-03-02,14,201753,818700000,2,1637400000,142800000
선범섭,F,19621110,020184,경기 고양시 일산2동,58,010-5325-9095,2003-03-03,15,26665,2900000,7,5800000,0
어별무리,F,19491122,039881,전북 김제시 명덕동,71,010-2387-7564,2002-05-21,16,779474,1100000,9,2200000,0
제갈황채,F,19830709,036241,전남 목포시 옥암동,37,010-2961-4113,2002-04-30,16,3889021,270400000,1,540800000,0
망절세채,M,19900515,042479,제주 제주시 도남동,30,010-1160-6584,2006-12-08,11,7856645,114200000,5,228400000,0
배찬,F,19580807,046785,충북 단양군 단양읍,62,010-7288-1553,2005-01-06,13,136014,49800000,3,99600000,0
매명예,M,19520309,039996,전북 김제시 부량면,68,010-2111-5805,2007-03-25,11,7748799,11500000,9,23000000,0
지향현,M,19460420,048529,경기 고양시 주엽2동,74,010-3524-5369,2005-02-28,13,14365342,941700000,2,1883400000,0
초화택,F,19780623,012858,대구 달성군 화원읍,42,010-9944-4372,2008-04-02,10,5313920,1400000,7,2800000,0
랑두량,F,19470704,000496,서울 강남구 일원동,73,010-9143-2712,2005-06-20,13,17100923,415300000,2,830600000,0
팽헌터지우,F,19530429,005165,서울 송파구 마천2동,67,010-6745-2758,2004-09-01,13,457738,34300000,4,68600000,0
빙챔벨레인,F,19810416,005200,서울 송파구 방이동,39,010-8657-9389,2004-08-18,13,9795757,17200000,4,34400000,0
염인겸,M,19630125,020321,경기 고양시 탄현동,57,010-6566-6550,2009-05-11,9,161863,323400000,2,646800000,0
증제찬,F,19580325,004164,서울 서대문구 홍은동,62,010-1658-5207,2004-05-10,14,312522,75600000,3,151200000,0
요성다혜,M,19791114,009130,부산 사상구 모라2동,41,010-8930-3793,2007-01-17,11,737744,657000000,3,1314000000,0
감하렌,F,19491114,005298,서울 송파구 잠실7동,71,010-4383-0257,2003-12-23,14,996434,28600000,6,57200000,0
학홍늉,F,19710814,033221,경북 영천시 금호읍,49,010-7761-2856,2010-07-26,7,58466,3200000,7,6400000,0
애성하이,F,19800228,012204,대구 수성구 두산동,40,010-8665-5590,2004-04-02,14,657070,1700000,7,3400000,0
장궁혜,M,19581124,020210,경기 고양시 일산4동,62,010-3624-4665,2006-08-13,11,383347,2300000,9,4600000,0
마은담,M,19730822,025770,경기 파주시 조리읍,47,010-3164-7903,2005-05-15,13,3024925,429900000,3,859800000,0
초천경,F,19521218,025628,경기 파주시 금촌2동,68,010-5406-1833,2001-10-28,16,16855259,409000000,2,818000000,0
위본현,F,19600322,006075,서울 용산구 이촌1동,60,010-8963-0310,2003-07-20,14,27493,2800000,7,5600000,0
피병순,M,19840119,005262,서울 송파구 오금동,36,010-9744-9654,2004-11-23,13,731048,28000000,3,56000000,0
궉예국,M,19731008,044278,충남 천안시 풍세면,47,010-6171-0765,2009-08-03,8,214815,356200000,4,712400000,0
편쿄우진,M,19840709,045325,제주 서귀포시 동홍동,36,010-1363-4030,2006-06-19,12,565801,10500000,9,21000000,0
피태섭,M,19501212,016079,대전 서구 둔산동,70,010-8820-9293,2007-05-18,11,812789452,832400000,3,1664800000,0
송장흠,F,19781103,045359,충남 예산군 신양면,42,010-3128-7800,2006-06-20,12,3422373,42100000,4,84200000,0
왕자현,F,19500411,046349,충북 청주시 신봉동,70,010-8481-4709,2005-10-06,12,1216998,15400000,9,30800000,1600000
갈덕미,M,19760731,039884,전북 김제시 상동동,44,010-9405-6672,2003-07-08,15,9780604,781800000,2,1563600000,0
차탄하,M,20041230,020282,경기 고양시 주엽2동,16,010-9597-0418,2006-12-11,11,3983821,101700000,5,203400000,0
궉한나유진,F,19740621,020773,경기 광주시 퇴촌면,46,010-3562-8792,2003-04-07,15,194778,24300000,4,48600000,0
백브엘,F,19480410,006430,서울 은평구 신사동,72,010-4871-8867,2002-06-05,16,84656,4800000,6,9600000,0
낭이한얼,M,19421119,048345,경기 고양시 백석동,78,010-2364-4121,2008-04-01,10,499968,4900000,6,9800000,0
변경휘,M,19830411,000620,서울 강동구 길동,37,010-3451-2943,2003-02-27,15,388149,12700000,8,25400000,0
다례민,F,19651206,025700,경기 파주시 교하읍,55,010-2198-7587,2002-12-22,15,20848563,5900000,7,11800000,0
뇌메디슨,M,19760321,022931,경기 수원시 조원동,44,010-8067-4441,2007-03-19,11,412195,22400000,8,44800000,0
위방글,M,19610924,039715,전북 군산시 산북동,59,010-5199-7798,2003-09-08,14,482638,1700000,10,3400000,0
번나별,F,19650306,012739,대구 중구 삼덕동1가,55,010-1371-6779,2005-09-21,12,5112798,33200000,7,66400000,0
예마르셀라,F,19531010,003984,서울 서대문구 남가좌2동,67,010-2077-6132,2005-07-14,12,3006020,103000000,3,206000000,0
봉시우나무,M,19600327,021124,경기 김포시 북변동,60,010-8789-4509,2007-01-13,11,813095,15700000,4,31400000,0
창수석,M,19860317,016026,대전 서구 도마1동,34,010-2414-0235,2002-10-21,15,1339135,259100000,4,518200000,0
총세흰,M,19711130,041116,전북 전주시 효자동1가,49,010-4576-4289,2007-03-28,11,222031,75700000,4,151400000,0
배애니지원,F,19590107,048547,경기 고양시 주엽동,61,010-5771-0628,2006-12-17,11,311247,24300000,4,48600000,0
음비욜,M,19530502,006544,서울 종로구 구기동,67,010-9964-8599,2004-10-28,13,505155,24400000,4,48800000,0
채카일최,F,19730623,042795,제주 북제주군 추자면,47,010-8349-2343,2003-10-12,14,6778384,4700000,6,9400000,0
사제임스현,M,19590325,003717,서울 동작구 흑석동,61,010-7307-2752,2001-12-17,16,91693,6800000,7,13600000,0
장크마,M,19480718,007095,서울 중구 회현동1가,72,010-9653-1957,2005-05-25,13,701334,52200000,3,104400000,0
애휴주원,F,19730203,024733,경기 용인시 구성읍,47,010-9160-0707,2007-01-08,11,350103,14300000,6,28600000,0
필헌범,M,19520409,048421,경기 고양시 정발산동,68,010-4652-6949,2003-12-11,14,131073,7900000,7,15800000,0
태설준,F,19521211,007948,부산 남구 용호1동,68,010-5806-0506,2006-11-06,11,25964064,29500000,4,59000000,0
허고결,F,19620804,044005,충남 천안시 성정동,58,010-8285-1222,2003-11-25,14,869717620,53600000,2,107200000,0
엄세사,M,19530304,021576,경기 남양주시 화도읍,67,010-6104-1858,2005-07-27,12,174494,78000000,4,156000000,0
옹가스히데,M,19821108,027349,경기 연천군 미산면,38,010-4002-6112,2007-08-05,10,29437061,66100000,4,132200000,0
궁두이,M,19660122,013490,인천 남동구 구월동,54,010-1365-1589,2007-11-28,10,10624245,669700000,3,1339400000,0
은겸민,F,19540315,010822,대구 남구 봉덕3동,66,010-4418-5143,2005-05-15,13,43410,138300000,4,276600000,0
염추미,M,19480606,015076,인천 연수구 연수2동,72,010-6794-9079,2008-01-07,10,731793,159800000,3,319600000,0
좌민비,F,19710826,016079,대전 서구 둔산동,49,010-8005-7817,2001-06-25,17,645561055,767900000,3,1535800000,0
보루시아나,F,19620913,020204,경기 고양시 일산3동,58,010-7438-6570,2001-11-05,16,179152,165900000,5,331800000,0
방사랑세라,F,19510605,005729,서울 영등포구 신길6동,69,010-7141-4104,2004-04-12,14,920307,52700000,3,105400000,0
내공길,M,19680228,020262,경기 고양시 주엽1동,52,010-8080-8770,2009-07-21,8,764581,264300000,4,528600000,0
배켄드릭,F,19741119,013839,인천 부평구 산곡3동,46,010-7629-4125,2008-08-17,9,907233,26500000,4,53000000,0
도성하이,M,19390911,013931,인천 부평구 청천동,81,010-7726-3541,2004-04-13,14,2207019,13300000,8,26600000,0
원만결,F,19730112,020252,경기 고양시 장항2동,47,010-8478-6541,2003-12-08,14,111329,3700000,8,7400000,0
등굉장,F,19380320,022157,경기 성남시 구미동,82,010-1788-0914,2013-06-18,5,514414,602600000,2,1205200000,0
묵요영,F,19790121,002731,서울 노원구 월계2동,41,010-5399-5022,2006-12-13,11,10306936,22300000,4,44600000,0
성노바연서,M,19620326,020252,경기 고양시 장항2동,58,010-9930-1126,2004-04-03,14,935257,734900000,2,1469800000,0
맹조회,F,19510801,017626,강원 삼척시 남양동,69,010-3618-3888,2005-08-08,12,872055,571000000,1,1142000000,0
섭아츠야,M,19680606,029510,경남 통영시 광도면,52,010-3057-4807,2006-08-24,11,776962,111000000,3,222000000,0
빈임랑,F,19570214,048547,경기 고양시 주엽동,63,010-4003-3276,2001-03-20,17,2975352,2300000,7,4600000,0
당센온신,M,20070710,024290,경기 안양시 안양9동,13,010-7193-3441,2005-09-22,12,5775260,69200000,6,138400000,0
탁웅비토비,M,19600903,021528,경기 고양시 백석2동,60,010-2704-4070,2004-11-30,13,557617216,1300000,4,2600000,0
황목보나,F,19700311,005012,서울 성북구 하월곡동,50,010-7249-0412,2007-07-23,10,7068032,68500000,3,137000000,0
서진전,M,19910214,030976,경북 경산시 중산동,29,010-7143-7825,2003-07-18,14,4192310,30200000,7,60400000,0
무임찬,M,19490604,011548,대구 동구 지묘동,71,010-5201-3264,2001-06-15,17,18443687,3800000,9,7600000,0
노차미,M,19421221,004096,서울 서대문구 연희3동,78,010-2604-6640,2005-09-23,12,5799450,17600000,6,35200000,0
라하용,M,19620814,036800,전남 여수시 신월동,58,010-4917-9452,2009-12-23,8,278533,148400000,4,296800000,0
해뢰자,F,19800708,048570,경기 고양시 탄현동,40,010-4236-1059,2003-07-23,14,9005498,89500000,3,179000000,0
태리아보나,M,20011215,005462,서울 양천구 목동,19,010-8789-5747,2004-11-15,13,839572,992300000,1,1984600000,0
